PERMNO,date,Mkt-RF,SMB,HML,RMW,CMA,R_ME,R_IA,R_ROE,R_EG,AggLiq,eq8,LIQ_V,Mkt-RF_l0,Mkt-RF_l1,Mkt-RF_l2,Mkt-RF_l3,Mkt-RF_l4,Mkt-RF_l5,Mkt-RF_l6,SMB_l0,SMB_l1,SMB_l2,SMB_l3,SMB_l4,SMB_l5,SMB_l6,HML_l0,HML_l1,HML_l2,HML_l3,HML_l4,HML_l5,HML_l6,RMW_l0,RMW_l1,RMW_l2,RMW_l3,RMW_l4,RMW_l5,RMW_l6,CMA_l0,CMA_l1,CMA_l2,CMA_l3,CMA_l4,CMA_l5,CMA_l6,R_ME_l0,R_ME_l1,R_ME_l2,R_ME_l3,R_ME_l4,R_ME_l5,R_ME_l6,R_IA_l0,R_IA_l1,R_IA_l2,R_IA_l3,R_IA_l4,R_IA_l5,R_IA_l6,R_ROE_l0,R_ROE_l1,R_ROE_l2,R_ROE_l3,R_ROE_l4,R_ROE_l5,R_ROE_l6,R_EG_l0,R_EG_l1,R_EG_l2,R_EG_l3,R_EG_l4,R_EG_l5,R_EG_l6,AggLiq_l0,AggLiq_l1,AggLiq_l2,AggLiq_l3,AggLiq_l4,AggLiq_l5,AggLiq_l6,eq8_l0,eq8_l1,eq8_l2,eq8_l3,eq8_l4,eq8_l5,eq8_l6,LIQ_V_l0,LIQ_V_l1,LIQ_V_l2,LIQ_V_l3,LIQ_V_l4,LIQ_V_l5,LIQ_V_l6
12175,1/1/2005,0,0,0.000682512,0.001647282,0,0,-0.001327888,0,-0.003796703,0,0,0,0,0,0.001643681,0,-0.002515651,0,0,0,0,0,-0.000255373,-0.000651939,0,-0.000644916,0.000906041,0.001155145,0.000322282,0,-0.001103202,0.000565892,0.00019498,0.001758705,-0.001832925,0,7.30E-05,-0.000957716,0,0,0,0,0,0,0,0,0,0,-0.003257618,0.003278722,0,0,0.001857352,0,-0.000343461,0,0,0,0,0,-0.000446182,0,0,0,0,0,0,0,-0.002032923,0,0,0,0,0,-0.001392247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12490,1/1/2005,0.0094186,0,-0.006686159,-0.002587179,0,-0.002814519,0,-0.00355534,0.002353339,0,0,0,5.13E-06,-0.000909788,-0.003572967,0,0,0,0,0,0,0.002564028,-0.007326127,0,-0.001561308,0,-1.63E-05,0.001807402,0.00279038,0,0.0064931,-0.000905445,0,0,0,0,0,0,-0.001301229,0,0,0,0,0,0,0,0.003444907,-0.001520148,0,0.000474976,0,0.000170263,0,0.000317806,0,0,0,0,0,0,0,-2.75E-05,0,0,0.000770664,0,0,0.001830067,0.001377559,0,0,0.000708809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13507,1/1/2005,0.002133116,0,-6.82E-05,0,0.005571007,0,0,0,0,0,0,0,0.001178895,0.000772375,0,0,0,-0.000960189,-0.000771035,0,0,0,-0.005797211,0,0,0,-6.20E-05,0.000804007,0.001442647,0,0,0,0,0,0,0.001710308,0,0,-0.001339629,0,0.000646056,0,0,0,-0.001425572,0,0,0,0.003517707,0,0,-0.000733443,0,0,0,0,0,-0.004354459,0,-0.000594152,0,0,0,0,0.000826433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13856,1/1/2005,0.00291104,0,0,0,0.004475506,0,0.000759937,0.000308271,0,0,0,0,0.001372972,-0.000851508,0.004022933,-0.00108857,0.000381425,-0.00019068,0,0,0,-0.002493541,0,0,0,0,0,0,0.002151417,-0.000516156,-0.000277247,0.002358518,0,0,0,0,0,0,-0.000904526,0,1.50E-05,0,0,-0.001382846,0,0.000843088,0,0,0,-0.001537106,0,0,0,0,0.000603468,-0.002210838,0,0,0,0,0,2.60E-06,0,0,0.000455633,-0.001254821,-0.000755161,9.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14008,1/1/2005,0.00348215,0,0,0,0,-0.005641482,0,-0.004724984,0.002485366,0,0,0,0.000378431,0,0,0,0,-0.00028838,-0.002485207,0,0,0,0,0,0,0.00327885,0,0,0,0,0.003621751,-0.001227432,0,0,0.002283249,-0.002067061,0,0,0,0,0,-0.002656137,0,0,0,0,0,-0.000707022,-0.000248523,0,0,-0.004249214,-0.002608356,0,0,0,0.007886366,0,-0.007594138,7.94E-05,0,-0.001401692,0,0.003242638,-0.000618946,-0.000128016,0.000946242,0,0.001868637,0,-0.001084503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14541,1/1/2005,0.004333287,0,0.00199987,0,0,0,0,0,-0.001041217,0,0,0,0.00028045,0,0.001012225,0,0.001506271,-6.68E-05,0,0,0,0.001083693,0,0,0,-0.000525362,0.000513848,0.001767737,0.000386035,0,0.000969067,0,0,0,0,0.001082202,0,0,0,0,0,0,0,0,0,-0.00054572,0,0,-0.003278337,0.00335038,-0.000141708,0,0,0,0,0,0,-0.000455229,0,0,0,0,-0.000939231,0,0,0,0.001334523,0,-0.000101296,0,0,0,-0.000157497,0.000151738,-0.003018765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14752,1/1/2005,0,0,0,0,0,0,-0.001657667,-0.000425031,-0.004569462,0,0,0,0.000486731,0.0012726,0,0.000139986,-0.002612532,-0.000382202,0.005725182,0,0.001936882,0,0,0,0,0,0,0.000347936,0,0,0,0,0,0,0.005271463,0,0,0,0,0.000570258,0,-0.003422661,0,0,-0.003901471,-0.006716685,0,0,0,0,0,0,0,0,-0.000728293,0,0,-0.00105286,0,0,0,0,0,-3.15E-05,0,-2.76E-05,-0.000115726,0.001395519,0,0,0,-0.001037153,-0.003825167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14868,1/1/2005,0.005147084,0,0.003950612,0,0,0.003375494,0.002062265,0,0,0,0,0,0.002607911,0.001565059,0,0,-0.005929449,0.003824421,0.002784235,0,-0.002058001,-0.005629345,0,0,0,-0.001498051,0.000123039,-0.00521171,0.001726591,-0.00051275,0.005295248,0,0.000132594,0,0.001950286,0,-0.003014907,0,0,0.009218606,0,0,0,-0.0023728,0,0.003320451,0,0.003429548,0,0,0.004253021,5.41E-07,0,0,0.000180916,-0.006081404,-0.003935708,0,-0.003621137,0,0,0,0.000209729,0,0.000441799,-0.003271373,0,0,0,0.001090183,0,0,0,0.008322249,-0.01060697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15202,1/1/2005,0.006778666,0,0.005117028,0,0,0.000299264,0,0,-0.001077331,0,0,0,0.001311359,0.001526624,-0.000621558,0,0,0,0,0,0,0,0.000680869,0,0.000576625,0,0.000858405,0,-0.000458847,0.004954524,-0.000133603,0,0.002076987,0,0.001033266,-0.001980694,-1.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.000121616,0.000461616,7.22E-06,0,0,0,0.003453228,-0.002442349,0.000366091,-0.00536291,0,0,0,0,-4.98E-05,0,0.001105774,0,-0.001484775,-0.000922245,0,0,-0.000755223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15472,1/1/2005,0.000191599,0,0.002686192,0.001419222,0.001727157,0,0,0,8.30E-05,0,0,0,0.000911535,-0.001067754,0,0,-0.000230525,0,0,0,0,0,-0.00118602,0.000463114,0,0,3.45E-05,0,0,0,0,0,0,0.000231041,6.02E-05,0,0,0,0,0.000750934,0.000771047,0,0,-0.001814895,0,0,-0.00212273,0,0,0,0,0,0,0,0,-0.000153323,0,0,0,0.000202785,0,0,0,0,0,0,0,0,0.000402709,0,-0.001452691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16600,1/1/2005,0,-0.002600042,-8.20E-05,0,0,-1.79E-05,0.007658908,-4.19E-06,0.002326899,0,0,0,0,0.001189808,0,0,0.001767023,0,0.003827625,-0.000225782,0,0,0,0,0,0,-0.000493166,0,0,0,0.00327605,-0.000641149,0.003076753,0,0,0,-0.007073951,0,0,0.000630227,0,0,0,0,0,0,0,-0.000168063,0,-0.001045112,0,0,-0.004306456,-0.003306977,9.43E-05,0,0,0,-0.003334112,0,0.000668824,-3.97E-05,0,0,0.005976617,0,0,0,0.000664651,0,-0.002404239,0.004049729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
